2025-09-21 19:01:34,601 - INFO] Time 0.113 | CBR 0.0833 (0.0833) | SNR 1.0 | PSNR 29.914 (27.650) | MSSSIM 0.942 (0.892) | Lr 0.0001
2025-09-21 19:01:34,753 - INFO] Time 0.076 | CBR 0.0833 (0.0833) | SNR 1.0 | PSNR 29.966 (27.882) | MSSSIM 0.936 (0.897) | Lr 0.0001
2025-09-21 19:01:34,943 - INFO] Time 0.114 | CBR 0.0833 (0.0833) | SNR 1.0 | PSNR 27.584 (27.855) | MSSSIM 0.891 (0.896) | Lr 0.0001
2025-09-21 19:01:35,094 - INFO] Time 0.075 | CBR 0.0833 (0.0833) | SNR 1.0 | PSNR 31.563 (28.164) | MSSSIM 0.935 (0.899) | Lr 0.0001
2025-09-21 19:01:35,247 - INFO] Time 0.077 | CBR 0.0833 (0.0833) | SNR 1.0 | PSNR 22.038 (27.692) | MSSSIM 0.767 (0.889) | Lr 0.0001
2025-09-21 19:01:35,397 - INFO] Time 0.074 | CBR 0.0833 (0.0833) | SNR 1.0 | PSNR 25.596 (27.543) | MSSSIM 0.848 (0.886) | Lr 0.0001
2025-09-21 19:01:35,549 - INFO] Time 0.075 | CBR 0.0833 (0.0833) | SNR 1.0 | PSNR 30.472 (27.738) | MSSSIM 0.940 (0.890) | Lr 0.0001
2025-09-21 19:01:35,697 - INFO] Time 0.073 | CBR 0.0833 (0.0833) | SNR 1.0 | PSNR 30.240 (27.894) | MSSSIM 0.906 (0.891) | Lr 0.0001
2025-09-21 19:01:35,887 - INFO] Time 0.114 | CBR 0.0833 (0.0833) | SNR 1.0 | PSNR 29.606 (27.995) | MSSSIM 0.928 (0.893) | Lr 0.0001
2025-09-21 19:01:36,039 - INFO] Time 0.075 | CBR 0.0833 (0.0833) | SNR 1.0 | PSNR 25.491 (27.856) | MSSSIM 0.845 (0.890) | Lr 0.0001
2025-09-21 19:01:36,192 - INFO] Time 0.076 | CBR 0.0833 (0.0833) | SNR 1.0 | PSNR 27.751 (27.850) | MSSSIM 0.902 (0.891) | Lr 0.0001
2025-09-21 19:01:36,387 - INFO] Time 0.118 | CBR 0.0833 (0.0833) | SNR 1.0 | PSNR 29.872 (27.952) | MSSSIM 0.948 (0.894) | Lr 0.0001
2025-09-21 19:01:36,538 - INFO] Time 0.075 | CBR 0.0833 (0.0833) | SNR 1.0 | PSNR 26.474 (27.881) | MSSSIM 0.908 (0.894) | Lr 0.0001
2025-09-21 19:01:36,689 - INFO] Time 0.075 | CBR 0.0833 (0.0833) | SNR 1.0 | PSNR 27.810 (27.878) | MSSSIM 0.860 (0.893) | Lr 0.0001
2025-09-21 19:01:36,840 - INFO] Time 0.074 | CBR 0.0833 (0.0833) | SNR 1.0 | PSNR 31.867 (28.051) | MSSSIM 0.950 (0.895) | Lr 0.0001
2025-09-21 19:01:36,993 - INFO] Time 0.076 | CBR 0.0833 (0.0833) | SNR 1.0 | PSNR 25.292 (27.936) | MSSSIM 0.858 (0.894) | Lr 0.0001
2025-09-21 19:01:37,143 - INFO] Time 0.075 | CBR 0.1250 (0.1250) | SNR 1.0 | PSNR 27.718 (27.718) | MSSSIM 0.935 (0.935) | Lr 0.0001
2025-09-21 19:01:37,294 - INFO] Time 0.075 | CBR 0.1250 (0.1250) | SNR 1.0 | PSNR 33.417 (30.568) | MSSSIM 0.943 (0.939) | Lr 0.0001
2025-09-21 19:01:37,444 - INFO] Time 0.074 | CBR 0.1250 (0.1250) | SNR 1.0 | PSNR 35.697 (32.277) | MSSSIM 0.975 (0.951) | Lr 0.0001
2025-09-21 19:01:37,635 - INFO] Time 0.114 | CBR 0.1250 (0.1250) | SNR 1.0 | PSNR 33.386 (32.555) | MSSSIM 0.958 (0.953) | Lr 0.0001
2025-09-21 19:01:37,829 - INFO] Time 0.115 | CBR 0.1250 (0.1250) | SNR 1.0 | PSNR 26.818 (31.407) | MSSSIM 0.934 (0.949) | Lr 0.0001
2025-09-21 19:01:37,981 - INFO] Time 0.076 | CBR 0.1250 (0.1250) | SNR 1.0 | PSNR 29.728 (31.127) | MSSSIM 0.936 (0.947) | Lr 0.0001
2025-09-21 19:01:38,134 - INFO] Time 0.075 | CBR 0.1250 (0.1250) | SNR 1.0 | PSNR 33.856 (31.517) | MSSSIM 0.979 (0.951) | Lr 0.0001
2025-09-21 19:01:38,289 - INFO] Time 0.078 | CBR 0.1250 (0.1250) | SNR 1.0 | PSNR 26.251 (30.859) | MSSSIM 0.946 (0.951) | Lr 0.0001
2025-09-21 19:01:38,482 - INFO] Time 0.116 | CBR 0.1250 (0.1250) | SNR 1.0 | PSNR 34.599 (31.275) | MSSSIM 0.975 (0.953) | Lr 0.0001
2025-09-21 19:01:38,636 - INFO] Time 0.076 | CBR 0.1250 (0.1250) | SNR 1.0 | PSNR 34.524 (31.599) | MSSSIM 0.971 (0.955) | Lr 0.0001
2025-09-21 19:01:38,826 - INFO] Time 0.114 | CBR 0.1250 (0.1250) | SNR 1.0 | PSNR 30.851 (31.531) | MSSSIM 0.945 (0.954) | Lr 0.0001
2025-09-21 19:01:38,978 - INFO] Time 0.077 | CBR 0.1250 (0.1250) | SNR 1.0 | PSNR 34.782 (31.802) | MSSSIM 0.961 (0.955) | Lr 0.0001
2025-09-21 19:01:39,130 - INFO] Time 0.075 | CBR 0.1250 (0.1250) | SNR 1.0 | PSNR 24.397 (31.233) | MSSSIM 0.881 (0.949) | Lr 0.0001
2025-09-21 19:01:39,279 - INFO] Time 0.074 | CBR 0.1250 (0.1250) | SNR 1.0 | PSNR 28.796 (31.059) | MSSSIM 0.932 (0.948) | Lr 0.0001
2025-09-21 19:01:39,430 - INFO] Time 0.074 | CBR 0.1250 (0.1250) | SNR 1.0 | PSNR 33.464 (31.219) | MSSSIM 0.965 (0.949) | Lr 0.0001
2025-09-21 19:01:39,581 - INFO] Time 0.076 | CBR 0.1250 (0.1250) | SNR 1.0 | PSNR 33.231 (31.345) | MSSSIM 0.957 (0.950) | Lr 0.0001
